time,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7
5866.399000000,0.323563,1.044863,0.037856,-1.271732,-0.006474,2.493915,1.981912
5866.413000000,0.323738,1.045020,0.037965,-1.271872,0.212904,2.493870,1.544766
5866.433000000,0.323506,1.044880,0.037902,-1.271663,-0.019632,2.493791,2.023236
5866.450000000,0.323736,1.045014,0.037967,-1.271874,0.212903,2.493868,1.544766
5866.467000000,0.325006,1.045369,0.038385,-1.272297,0.047213,2.493933,1.910508
5866.484000000,0.323736,1.045018,0.037968,-1.271878,0.212903,2.493868,1.544766
5866.502000000,0.325239,1.045626,0.038801,-1.272212,0.098642,2.493656,1.804979
5866.519000000,0.323738,1.045022,0.037968,-1.271873,0.212904,2.493870,1.544762
5866.535000000,0.324864,1.045499,0.038659,-1.272114,0.130265,2.493646,1.724401
5866.554000000,0.323733,1.045020,0.037965,-1.271872,0.212903,2.493868,1.544772
5866.570000000,0.324294,1.045256,0.038270,-1.271986,0.150516,2.493729,1.665814
5866.588000000,0.323738,1.045019,0.037962,-1.271876,0.212904,2.493869,1.544760
5866.604000000,0.323658,1.045052,0.038038,-1.271822,0.161568,2.493757,1.624895
5866.621000000,0.323738,1.045020,0.037960,-1.271871,0.212903,2.493870,1.544760
5866.638000000,0.323294,1.044865,0.037713,-1.271770,0.170001,2.493825,1.586982
5866.655000000,0.323736,1.045020,0.037965,-1.271874,0.212901,2.493869,1.544761
5866.672000000,0.323052,1.044768,0.037575,-1.271718,0.174456,2.493861,1.559493
5866.689000000,0.323738,1.045023,0.037965,-1.271873,0.212903,2.493868,1.544769
5866.706000000,0.322990,1.044735,0.037530,-1.271705,0.177207,2.493889,1.538187
5866.723000000,0.323738,1.045019,0.037966,-1.271868,0.212903,2.493867,1.544768
5866.740000000,0.323059,1.044750,0.037557,-1.271718,0.178970,2.493905,1.522298
5866.754000000,0.323733,1.045025,0.037965,-1.271874,0.212902,2.493867,1.544769
5866.775000000,0.323145,1.044814,0.037695,-1.271702,0.179434,2.493913,1.512944
5866.789000000,0.323741,1.045022,0.037965,-1.271876,0.212902,2.493869,1.544760
5866.809000000,0.323320,1.044869,0.037787,-1.271736,0.180116,2.493912,1.506812
5866.823000000,0.323736,1.045020,0.037967,-1.271874,0.212904,2.493869,1.544765
5866.843000000,0.323486,1.044928,0.037878,-1.271771,0.180538,2.493907,1.505058
5866.856000000,0.323738,1.045015,0.037965,-1.271871,0.212903,2.493869,1.544763
5866.877000000,0.323627,1.044973,0.037953,-1.271798,0.180789,2.493900,1.507497
5866.889000000,0.323738,1.045020,0.037970,-1.271874,0.212905,2.493870,1.544767
5866.911000000,0.323732,1.044985,0.038007,-1.271834,0.180880,2.493896,1.514022
5866.924000000,0.323736,1.045022,0.037968,-1.271871,0.212902,2.493869,1.544764
5866.946000000,0.323855,1.045011,0.037987,-1.271860,0.181565,2.493879,1.523018
5866.957000000,0.323733,1.045020,0.037968,-1.271874,0.212902,2.493868,1.544768
5866.980000000,0.323887,1.045012,0.037992,-1.271878,0.181574,2.493882,1.537329
5866.990000000,0.323736,1.045023,0.037965,-1.271871,0.212902,2.493869,1.544767
5867.014000000,0.323891,1.045013,0.037994,-1.271883,0.181558,2.493879,1.554941
5867.023000000,0.323736,1.045017,0.037963,-1.271872,0.212904,2.493869,1.544764
5867.048000000,0.323872,1.045015,0.037987,-1.271890,0.181581,2.493868,1.571113
5867.055000000,0.323738,1.045019,0.037966,-1.271876,0.212902,2.493868,1.544766
5867.082000000,0.323842,1.045018,0.037972,-1.271895,0.181548,2.493862,1.584819
5867.082000000,0.323741,1.045020,0.037963,-1.271869,0.212902,2.493867,1.544769
5867.116000000,0.323810,1.045021,0.037955,-1.271899,0.181491,2.493857,1.596424
5867.123000000,0.323736,1.045012,0.037963,-1.271871,0.212903,2.493869,1.544769
5867.150000000,0.323783,1.045024,0.037940,-1.271900,0.181428,2.493855,1.606250
5867.157000000,0.323736,1.045020,0.037963,-1.271876,0.212903,2.493869,1.544761
5867.185000000,0.323699,1.045045,0.037989,-1.271855,0.180709,2.493841,1.616595
5867.190000000,0.323736,1.045025,0.037967,-1.271881,0.212903,2.493869,1.544769
5867.217000000,0.323752,1.045021,0.037920,-1.271905,0.181307,2.493854,1.621597
5867.224000000,0.323741,1.045018,0.037962,-1.271878,0.212899,2.493868,1.544764
5867.253000000,0.323682,1.045042,0.037979,-1.271857,0.180550,2.493838,1.629556
5867.258000000,0.323738,1.045023,0.037962,-1.271873,0.212904,2.493868,1.544768
5867.287000000,0.323682,1.045047,0.037981,-1.271858,0.180510,2.493837,1.634504
5867.291000000,0.323736,1.045018,0.037962,-1.271876,0.212901,2.493867,1.544760
5867.321000000,0.323686,1.045045,0.037982,-1.271855,0.180407,2.493838,1.638823
5867.325000000,0.323733,1.045023,0.037963,-1.271872,0.212902,2.493867,1.544767
5867.355000000,0.323694,1.045023,0.037985,-1.271870,0.180311,2.493841,1.642473
5867.360000000,0.323733,1.045022,0.037968,-1.271871,0.212902,2.493870,1.544769
5867.390000000,0.323755,1.045027,0.037939,-1.271885,0.180919,2.493852,1.643723
5867.392000000,0.323733,1.045020,0.037965,-1.271871,0.212902,2.493870,1.544766
5867.424000000,0.323763,1.045016,0.037930,-1.271896,0.180880,2.493859,1.646304
5867.426000000,0.323736,1.045020,0.037965,-1.271869,0.212903,2.493873,1.544762
5867.459000000,0.323705,1.045037,0.037992,-1.271847,0.180198,2.493841,1.650327
5867.459000000,0.323738,1.045018,0.037968,-1.271876,0.212903,2.493867,1.544769
5867.492000000,0.323736,1.045020,0.037965,-1.271872,0.212903,2.493868,1.544762
5867.494000000,0.323708,1.045035,0.037993,-1.271846,0.180161,2.493841,1.652172
5867.527000000,0.323730,1.045020,0.037962,-1.271874,0.212903,2.493867,1.544763
5867.527000000,0.323591,1.045020,0.037990,-1.271802,0.175666,2.493806,1.659085
5867.560000000,0.323736,1.045023,0.037965,-1.271878,0.212904,2.493869,1.544767
5867.561000000,0.323447,1.044982,0.037911,-1.271769,0.165082,2.493817,1.675095
5867.594000000,0.323736,1.045020,0.037960,-1.271879,0.212902,2.493869,1.544766
5867.595000000,0.323372,1.044961,0.037884,-1.271740,0.154716,2.493815,1.694363
5867.628000000,0.323738,1.045020,0.037962,-1.271876,0.212903,2.493868,1.544768
5867.632000000,0.323396,1.044939,0.037806,-1.271752,0.143846,2.493856,1.717514
5867.662000000,0.323738,1.045015,0.037968,-1.271872,0.212903,2.493869,1.544767
5867.665000000,0.323313,1.044916,0.037851,-1.271717,0.132731,2.493815,1.744859
5867.695000000,0.323738,1.045023,0.037966,-1.271871,0.212899,2.493869,1.544769
5867.700000000,0.323371,1.044912,0.037783,-1.271732,0.121927,2.493869,1.773620
5867.729000000,0.323738,1.045025,0.037968,-1.271878,0.212905,2.493869,1.544764
5867.734000000,0.323850,1.045098,0.038065,-1.271935,0.141060,2.493761,1.709423
5867.763000000,0.323739,1.045018,0.037966,-1.271876,0.212904,2.493868,1.544763
5867.768000000,0.324019,1.045203,0.038199,-1.271968,0.155133,2.493748,1.650376
5867.797000000,0.323736,1.045023,0.037965,-1.271876,0.212904,2.493867,1.544767
5867.802000000,0.324004,1.045204,0.038191,-1.271941,0.163845,2.493774,1.610043
5867.831000000,0.323733,1.045020,0.037965,-1.271869,0.212904,2.493870,1.544769
5867.836000000,0.323900,1.045152,0.038134,-1.271908,0.169734,2.493794,1.577391
5867.865000000,0.323736,1.045023,0.037962,-1.271876,0.212902,2.493870,1.544767
5867.870000000,0.323772,1.045087,0.038064,-1.271869,0.173598,2.493819,1.551102
5867.900000000,0.323742,1.045018,0.037965,-1.271880,0.212906,2.493869,1.544768
5867.904000000,0.323661,1.045026,0.038001,-1.271835,0.176059,2.493843,1.530564
5867.933000000,0.323738,1.045022,0.037965,-1.271874,0.212903,2.493868,1.544768
5867.939000000,0.323663,1.044966,0.037877,-1.271848,0.178404,2.493858,1.513027
5867.967000000,0.323736,1.045015,0.037965,-1.271869,0.212904,2.493870,1.544767
5867.973000000,0.323627,1.044936,0.037858,-1.271833,0.179311,2.493864,1.502789
5868.000000000,0.323738,1.045015,0.037965,-1.271876,0.212902,2.493870,1.544762
5868.007000000,0.323456,1.044891,0.037760,-1.271792,0.171312,2.493878,1.504590
5868.034000000,0.323733,1.045020,0.037962,-1.271871,0.212903,2.493870,1.544765
5868.041000000,0.323392,1.044855,0.037714,-1.271779,0.163313,2.493883,1.510458
5868.069000000,0.323736,1.045018,0.037962,-1.271873,0.212903,2.493873,1.544765
5868.075000000,0.323388,1.044849,0.037681,-1.271757,0.155056,2.493897,1.520461
5868.102000000,0.323741,1.045015,0.037970,-1.271872,0.212901,2.493869,1.544764
5868.108000000,0.323316,1.044826,0.037745,-1.271737,0.146283,2.493892,1.535435
5868.136000000,0.323736,1.045025,0.037970,-1.271873,0.212903,2.493868,1.544768
5868.142000000,0.323323,1.044819,0.037737,-1.271729,0.137751,2.493893,1.551617
5868.169000000,0.323736,1.045020,0.037965,-1.271869,0.212903,2.493870,1.544768
5868.176000000,0.323314,1.044813,0.037752,-1.271720,0.129030,2.493892,1.569908
5868.203000000,0.323733,1.045027,0.037965,-1.271874,0.212904,2.493868,1.544763
5868.212000000,0.323384,1.044816,0.037687,-1.271730,0.120582,2.493915,1.589500
5868.236000000,0.323738,1.045020,0.037968,-1.271871,0.212904,2.493869,1.544764
5868.245000000,0.323383,1.044809,0.037689,-1.271725,0.111682,2.493919,1.611933
5868.271000000,0.323733,1.045020,0.037968,-1.271874,0.212903,2.493869,1.544767
5868.283000000,0.323314,1.044802,0.037756,-1.271694,0.101813,2.493892,1.638087
5868.305000000,0.323736,1.045020,0.037965,-1.271874,0.212904,2.493869,1.544761
5868.315000000,0.323387,1.044785,0.037680,-1.271730,0.092950,2.493925,1.662499
5868.339000000,0.323740,1.045018,0.037965,-1.271868,0.212899,2.493868,1.544764
5868.349000000,0.323381,1.044779,0.037683,-1.271725,0.083462,2.493928,1.689837
5868.372000000,0.323736,1.045023,0.037966,-1.271876,0.212903,2.493869,1.544766
