time,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7
5247.811000000,0.255686,1.109342,0.138533,-1.159057,-0.116271,2.328138,2.658360
5247.838000000,0.255783,1.109372,0.138493,-1.159119,-0.159535,2.328337,2.758072
5247.848000000,0.255684,1.109345,0.138531,-1.159055,-0.116269,2.328136,2.658358
5247.872000000,0.255755,1.109349,0.138498,-1.159127,-0.159126,2.328345,2.755046
5247.884000000,0.255684,1.109345,0.138534,-1.159057,-0.116267,2.328141,2.658361
5247.906000000,0.255739,1.109338,0.138489,-1.159119,-0.158832,2.328349,2.753049
5247.917000000,0.255686,1.109345,0.138534,-1.159057,-0.116269,2.328139,2.658367
5247.941000000,0.255644,1.109351,0.138593,-1.158999,-0.159378,2.327897,2.753845
5247.949000000,0.255686,1.109342,0.138535,-1.159055,-0.116268,2.328136,2.658367
5247.974000000,0.255717,1.109322,0.138477,-1.159110,-0.158572,2.328357,2.752015
5247.984000000,0.255684,1.109342,0.138531,-1.159060,-0.116270,2.328137,2.658367
5248.008000000,0.255713,1.109317,0.138474,-1.159109,-0.158532,2.328357,2.752874
5248.016000000,0.255689,1.109345,0.138531,-1.159060,-0.116269,2.328139,2.658367
5248.042000000,0.255712,1.109319,0.138474,-1.159112,-0.158514,2.328360,2.754591
5248.050000000,0.255687,1.109342,0.138531,-1.159063,-0.116268,2.328139,2.658363
5248.078000000,0.255714,1.109317,0.138477,-1.159103,-0.158542,2.328343,2.757166
5248.083000000,0.255681,1.109342,0.138537,-1.159060,-0.116272,2.328138,2.658369
5248.111000000,0.255639,1.109359,0.138585,-1.158981,-0.159272,2.327900,2.762280
5248.115000000,0.255689,1.109339,0.138533,-1.159060,-0.116272,2.328139,2.658366
5248.145000000,0.255642,1.109362,0.138589,-1.158983,-0.159273,2.327899,2.765110
5248.147000000,0.255687,1.109342,0.138532,-1.159057,-0.116269,2.328137,2.658362
5248.179000000,0.255646,1.109365,0.138590,-1.158985,-0.159274,2.327899,2.767480
5248.182000000,0.255684,1.109342,0.138532,-1.159060,-0.116270,2.328138,2.658358
5248.213000000,0.255650,1.109367,0.138592,-1.158986,-0.159276,2.327898,2.769544
5248.214000000,0.255689,1.109347,0.138534,-1.159060,-0.116269,2.328137,2.658366
5248.244000000,0.255684,1.109342,0.138534,-1.159057,-0.116268,2.328137,2.658365
5248.247000000,0.255653,1.109367,0.138592,-1.158987,-0.159278,2.327896,2.771235
5248.275000000,0.255688,1.109342,0.138534,-1.159054,-0.116271,2.328137,2.658366
5248.281000000,0.255576,1.109355,0.138659,-1.158951,-0.161478,2.327820,2.774775
5248.304000000,0.255689,1.109347,0.138531,-1.159057,-0.116269,2.328137,2.658365
5248.315000000,0.255428,1.109271,0.138605,-1.158880,-0.175024,2.327758,2.788860
5248.340000000,0.255686,1.109339,0.138529,-1.159055,-0.116269,2.328138,2.658366
5248.350000000,0.255455,1.109204,0.138477,-1.158968,-0.186509,2.328153,2.800784
5248.374000000,0.255691,1.109345,0.138534,-1.159057,-0.116270,2.328138,2.658358
5248.384000000,0.255432,1.109183,0.138462,-1.158960,-0.198877,2.328166,2.815422
5248.408000000,0.255685,1.109345,0.138534,-1.159057,-0.116271,2.328137,2.658367
5248.418000000,0.255435,1.109160,0.138431,-1.158977,-0.211355,2.328246,2.831120
5248.442000000,0.255684,1.109345,0.138534,-1.159055,-0.116267,2.328136,2.658368
5248.452000000,0.255439,1.109152,0.138413,-1.158990,-0.224000,2.328320,2.848023
5248.476000000,0.255686,1.109337,0.138534,-1.159057,-0.116270,2.328138,2.658358
5248.487000000,0.255354,1.109173,0.138534,-1.158870,-0.237988,2.327886,2.868670
5248.509000000,0.255686,1.109345,0.138533,-1.159060,-0.116266,2.328137,2.658367
5248.524000000,0.255440,1.109132,0.138406,-1.158987,-0.251717,2.328338,2.888651
5248.544000000,0.255688,1.109339,0.138539,-1.159060,-0.116269,2.328138,2.658365
5248.558000000,0.255514,1.109186,0.138443,-1.159000,-0.258764,2.328157,2.897319
5248.578000000,0.255688,1.109339,0.138531,-1.159057,-0.116268,2.328137,2.658366
5248.593000000,0.255592,1.109261,0.138489,-1.159016,-0.261706,2.328129,2.897300
5248.607000000,0.255685,1.109345,0.138534,-1.159057,-0.116269,2.328138,2.658360
5248.627000000,0.255642,1.109294,0.138502,-1.159035,-0.264142,2.328128,2.897300
5248.642000000,0.255683,1.109342,0.138534,-1.159057,-0.116267,2.328138,2.658359
5248.661000000,0.255669,1.109323,0.138523,-1.159037,-0.265955,2.328111,2.897300
5248.675000000,0.255683,1.109342,0.138534,-1.159057,-0.116269,2.328138,2.658367
5248.695000000,0.255688,1.109328,0.138531,-1.159059,-0.267300,2.328126,2.897300
5248.711000000,0.255686,1.109339,0.138534,-1.159057,-0.116270,2.328137,2.658359
5248.728000000,0.255711,1.109348,0.138531,-1.159051,-0.268304,2.328111,2.897300
5248.744000000,0.255683,1.109345,0.138537,-1.159057,-0.116270,2.328138,2.658360
5248.762000000,0.255714,1.109349,0.138542,-1.159065,-0.269106,2.328122,2.897300
5248.778000000,0.255686,1.109342,0.138534,-1.159057,-0.116270,2.328137,2.658357
5248.797000000,0.255618,1.109358,0.138658,-1.158977,-0.272748,2.327743,2.895190
5248.807000000,0.255687,1.109342,0.138534,-1.159060,-0.116270,2.328137,2.658367
5248.831000000,0.255509,1.109277,0.138646,-1.158905,-0.284193,2.327460,2.891121
5248.841000000,0.255686,1.109345,0.138531,-1.159057,-0.116267,2.328136,2.658363
5248.865000000,0.255435,1.109229,0.138648,-1.158853,-0.296607,2.327153,2.890120
5248.876000000,0.255686,1.109339,0.138534,-1.159057,-0.116270,2.328138,2.658363
5248.899000000,0.255382,1.109194,0.138658,-1.158809,-0.309906,2.326782,2.892198
5248.909000000,0.255689,1.109342,0.138531,-1.159057,-0.116266,2.328137,2.658366
5248.934000000,0.255447,1.109148,0.138515,-1.158884,-0.323485,2.326849,2.895587
5248.939000000,0.255688,1.109345,0.138537,-1.159063,-0.116270,2.328138,2.658366
5248.969000000,0.256354,1.109701,0.138531,-1.159441,-0.265931,2.327267,2.800939
5248.973000000,0.255688,1.109339,0.138534,-1.159057,-0.116267,2.328136,2.658362
5249.002000000,0.256407,1.109914,0.138876,-1.159336,-0.228926,2.326992,2.765752
5249.007000000,0.255688,1.109339,0.138539,-1.159055,-0.116267,2.328138,2.658362
5249.037000000,0.256326,1.109786,0.138768,-1.159360,-0.201197,2.327655,2.738611
5249.040000000,0.255686,1.109339,0.138534,-1.159063,-0.116271,2.328138,2.658362
5249.072000000,0.255689,1.109345,0.138531,-1.159057,-0.116270,2.328136,2.658367
5249.073000000,0.255930,1.109609,0.138811,-1.159071,-0.185394,2.327346,2.726133
5249.106000000,0.255688,1.109339,0.138534,-1.159057,-0.116269,2.328140,2.658366
5249.107000000,0.255685,1.109336,0.138591,-1.159054,-0.175311,2.327889,2.717793
5249.139000000,0.255689,1.109345,0.138533,-1.159063,-0.116271,2.328138,2.658365
5249.141000000,0.255219,1.109128,0.138607,-1.158738,-0.184723,2.327323,2.729780
5249.173000000,0.255687,1.109342,0.138531,-1.159060,-0.116271,2.328140,2.658358
5249.175000000,0.255125,1.108964,0.138388,-1.158801,-0.195162,2.327822,2.741361
5249.204000000,0.255686,1.109342,0.138539,-1.159063,-0.116270,2.328137,2.658365
5249.210000000,0.254972,1.108963,0.138492,-1.158628,-0.207219,2.327302,2.757684
5249.238000000,0.255684,1.109339,0.138534,-1.159055,-0.116270,2.328139,2.658363
5249.243000000,0.254955,1.108939,0.138471,-1.158624,-0.218569,2.327328,2.773173
5249.272000000,0.255692,1.109342,0.138536,-1.159060,-0.116271,2.328138,2.658360
5249.277000000,0.255016,1.108886,0.138361,-1.158731,-0.229296,2.327709,2.787875
5249.307000000,0.255682,1.109345,0.138531,-1.159060,-0.116270,2.328139,2.658361
5249.314000000,0.254922,1.108926,0.138492,-1.158578,-0.242364,2.327200,2.808632
5249.322000000,0.255686,1.109342,0.138534,-1.159055,-0.116268,2.328138,2.658358
5249.346000000,0.255283,1.108978,0.138268,-1.158893,-0.238320,2.327505,2.807372
5249.351000000,0.255691,1.109342,0.138532,-1.159057,-0.116268,2.328137,2.658361
5249.378000000,0.255678,1.109342,0.138534,-1.159057,-0.116269,2.328136,2.658363
5249.380000000,0.255655,1.109354,0.138610,-1.158963,-0.209212,2.327548,2.772750
5249.407000000,0.255686,1.109342,0.138534,-1.159060,-0.116270,2.328136,2.658366
5249.414000000,0.255644,1.109383,0.138686,-1.158983,-0.200697,2.327925,2.768014
5249.440000000,0.255678,1.109345,0.138537,-1.159060,-0.116266,2.328137,2.658361
5249.447000000,0.255370,1.109233,0.138643,-1.158815,-0.215450,2.327452,2.792109
5249.477000000,0.255689,1.109345,0.138531,-1.159057,-0.116269,2.328138,2.658369
5249.483000000,0.255359,1.109156,0.138515,-1.158895,-0.226412,2.327954,2.797747
5249.504000000,0.255692,1.109342,0.138532,-1.159057,-0.116266,2.328135,2.658360
5249.515000000,0.255241,1.109146,0.138620,-1.158753,-0.239197,2.327438,2.808827
5249.538000000,0.255683,1.109342,0.138531,-1.159063,-0.116267,2.328139,2.658359
5249.552000000,0.255311,1.109096,0.138472,-1.158876,-0.251244,2.327952,2.818374
5249.571000000,0.255692,1.109339,0.138531,-1.159062,-0.116265,2.328138,2.658360
5249.586000000,0.255215,1.109136,0.138611,-1.158721,-0.264980,2.327424,2.833402
5249.605000000,0.255689,1.109339,0.138537,-1.159057,-0.116272,2.328135,2.658369
5249.619000000,0.255212,1.109127,0.138610,-1.158715,-0.277830,2.327411,2.848156
5249.639000000,0.255681,1.109342,0.138529,-1.159060,-0.116269,2.328138,2.658361
5249.653000000,0.255196,1.109121,0.138634,-1.158680,-0.291220,2.327238,2.865161
5249.675000000,0.255689,1.109342,0.138531,-1.159063,-0.116272,2.328137,2.658364
5249.687000000,0.255186,1.109100,0.138656,-1.158668,-0.304744,2.326982,2.884180
5249.708000000,0.255684,1.109342,0.138534,-1.159060,-0.116268,2.328141,2.658362
5249.720000000,0.255299,1.109108,0.138529,-1.158764,-0.314923,2.327074,2.897372
5249.742000000,0.255686,1.109339,0.138534,-1.159055,-0.116270,2.328137,2.658360
5249.755000000,0.255367,1.109187,0.138626,-1.158796,-0.317607,2.326958,2.897300
5249.777000000,0.255689,1.109342,0.138531,-1.159063,-0.116270,2.328137,2.658362
5249.790000000,0.255428,1.109246,0.138634,-1.158809,-0.320281,2.326930,2.897300
5249.811000000,0.255687,1.109345,0.138531,-1.159057,-0.116271,2.328137,2.658360
5249.824000000,0.255463,1.109270,0.138641,-1.158824,-0.322227,2.326909,2.897300
5249.845000000,0.255686,1.109344,0.138534,-1.159060,-0.116271,2.328136,2.658365
5249.858000000,0.255475,1.109281,0.138656,-1.158841,-0.323770,2.326900,2.897300
