time,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7
0.000000000,0.375469,1.157257,-0.050807,-0.989352,0.088178,2.123128,2.389563
970.028000000,0.375477,1.157260,-0.050807,-0.989349,0.088178,2.123127,2.389562
970.038000000,0.375333,1.157176,-0.050699,-0.989253,0.031860,2.122952,2.411292
970.063000000,0.375474,1.157260,-0.050807,-0.989352,0.088176,2.123127,2.389563
970.073000000,0.375338,1.157005,-0.050928,-0.989274,0.038063,2.123253,2.387628
970.097000000,0.375471,1.157257,-0.050804,-0.989349,0.088178,2.123129,2.389570
970.107000000,0.375296,1.156932,-0.050957,-0.989238,0.041472,2.123264,2.374616
970.128000000,0.375468,1.157257,-0.050804,-0.989356,0.088179,2.123128,2.389561
970.141000000,0.375296,1.156925,-0.050958,-0.989224,0.043776,2.123249,2.362322
970.163000000,0.375474,1.157260,-0.050807,-0.989352,0.088180,2.123126,2.389565
970.175000000,0.375331,1.156955,-0.050966,-0.989260,0.045255,2.123259,2.350780
970.197000000,0.375466,1.157255,-0.050807,-0.989352,0.088180,2.123126,2.389569
970.210000000,0.375262,1.157049,-0.050759,-0.989187,0.045516,2.123005,2.343200
970.227000000,0.375469,1.157255,-0.050810,-0.989357,0.088177,2.123127,2.389566
970.247000000,0.375313,1.157120,-0.050742,-0.989222,0.046144,2.123003,2.335853
970.260000000,0.375474,1.157257,-0.050804,-0.989352,0.088177,2.123126,2.389563
970.278000000,0.375360,1.157183,-0.050727,-0.989255,0.046551,2.122997,2.329833
970.295000000,0.375471,1.157260,-0.050802,-0.989354,0.088177,2.123129,2.389567
970.312000000,0.375394,1.157241,-0.050712,-0.989282,0.046818,2.122994,2.324920
970.329000000,0.375474,1.157260,-0.050807,-0.989352,0.088181,2.123127,2.389562
970.346000000,0.375425,1.157257,-0.050702,-0.989321,0.046987,2.123001,2.321128
970.363000000,0.375471,1.157263,-0.050807,-0.989357,0.088176,2.123131,2.389566
970.380000000,0.375427,1.157289,-0.050685,-0.989322,0.047104,2.122998,2.317912
970.397000000,0.375466,1.157252,-0.050807,-0.989354,0.088177,2.123127,2.389563
970.414000000,0.375565,1.157298,-0.050897,-0.989400,0.047932,2.123226,2.313728
970.431000000,0.375469,1.157260,-0.050810,-0.989352,0.088178,2.123127,2.389568
970.448000000,0.375434,1.157301,-0.050684,-0.989328,0.047263,2.122997,2.313075
970.462000000,0.375471,1.157257,-0.050804,-0.989352,0.088177,2.123127,2.389570
970.483000000,0.375557,1.157275,-0.050894,-0.989417,0.048030,2.123224,2.309473
970.495000000,0.375471,1.157255,-0.050810,-0.989357,0.088176,2.123128,2.389564
970.523000000,0.375426,1.157284,-0.050693,-0.989325,0.047350,2.122998,2.309355
970.528000000,0.375471,1.157257,-0.050802,-0.989352,0.088178,2.123127,2.389567
970.556000000,0.375415,1.157282,-0.050689,-0.989316,0.047383,2.123002,2.308050
970.560000000,0.375469,1.157263,-0.050807,-0.989352,0.088177,2.123126,2.389566
970.591000000,0.375543,1.157268,-0.050909,-0.989386,0.048107,2.123227,2.305270
970.592000000,0.375474,1.157257,-0.050810,-0.989352,0.088177,2.123129,2.389570
970.624000000,0.375464,1.157260,-0.050807,-0.989354,0.088180,2.123126,2.389570
970.626000000,0.375410,1.157264,-0.050698,-0.989312,0.047389,2.123003,2.306110
970.655000000,0.375474,1.157257,-0.050804,-0.989354,0.088177,2.123128,2.389568
970.661000000,0.375414,1.157192,-0.050778,-0.989350,0.041714,2.123124,2.304135
970.686000000,0.375474,1.157255,-0.050802,-0.989354,0.088177,2.123127,2.389565
970.695000000,0.375369,1.157115,-0.050855,-0.989332,0.028768,2.123164,2.299121
970.719000000,0.375466,1.157265,-0.050807,-0.989354,0.088177,2.123128,2.389568
970.729000000,0.375353,1.157073,-0.050898,-0.989329,0.016039,2.123199,2.293729
970.750000000,0.375477,1.157263,-0.050804,-0.989354,0.088180,2.123126,2.389566
970.764000000,0.375358,1.157044,-0.050941,-0.989336,0.003106,2.123234,2.288349
970.783000000,0.375466,1.157260,-0.050807,-0.989354,0.088177,2.123129,2.389561
970.797000000,0.375373,1.157044,-0.050985,-0.989328,-0.009954,2.123271,2.282984
970.816000000,0.375474,1.157259,-0.050807,-0.989354,0.088180,2.123128,2.389565
970.831000000,0.375390,1.157032,-0.051022,-0.989333,-0.023349,2.123307,2.277839
970.849000000,0.375471,1.157257,-0.050807,-0.989352,0.088178,2.123127,2.389572
970.865000000,0.375412,1.157025,-0.051059,-0.989340,-0.036892,2.123346,2.272825
970.884000000,0.375469,1.157257,-0.050807,-0.989352,0.088180,2.123129,2.389566
970.899000000,0.375434,1.157019,-0.051096,-0.989348,-0.050664,2.123385,2.268051
970.920000000,0.375471,1.157255,-0.050804,-0.989354,0.088182,2.123125,2.389569
970.933000000,0.375458,1.157013,-0.051133,-0.989355,-0.064676,2.123426,2.263568
970.949000000,0.375471,1.157257,-0.050807,-0.989354,0.088179,2.123128,2.389565
