time,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7
3876.315000000,0.319965,0.721024,-0.524375,-1.299252,0.481747,2.055151,2.596481
3876.325000000,0.319977,0.720862,-0.524608,-1.299216,0.388126,2.055244,2.709979
3876.348000000,0.319958,0.721024,-0.524377,-1.299249,0.481746,2.055150,2.596483
3876.355000000,0.319995,0.720861,-0.524628,-1.299224,0.379073,2.055268,2.724218
3876.381000000,0.319965,0.721032,-0.524375,-1.299249,0.481747,2.055151,2.596475
3876.388000000,0.319810,0.720832,-0.524411,-1.299145,0.369622,2.055064,2.740896
3876.415000000,0.319962,0.721030,-0.524370,-1.299249,0.481745,2.055152,2.596486
3876.417000000,0.320040,0.720877,-0.524672,-1.299236,0.360731,2.055302,2.756668
3876.449000000,0.319962,0.721025,-0.524372,-1.299246,0.481749,2.055151,2.596481
3876.452000000,0.320028,0.720873,-0.524653,-1.299230,0.351333,2.055298,2.775057
3876.484000000,0.319962,0.721029,-0.524372,-1.299246,0.481748,2.055151,2.596482
3876.485000000,0.319843,0.720844,-0.524443,-1.299150,0.341598,2.055075,2.795907
3876.518000000,0.319965,0.721026,-0.524372,-1.299249,0.481748,2.055149,2.596483
3876.519000000,0.319849,0.720841,-0.524445,-1.299151,0.332017,2.055059,2.817221
3876.552000000,0.319965,0.721027,-0.524375,-1.299249,0.481747,2.055149,2.596479
3876.554000000,0.320026,0.720878,-0.524635,-1.299223,0.322653,2.055283,2.838637
3876.586000000,0.319965,0.721026,-0.524373,-1.299254,0.481747,2.055150,2.596478
3876.589000000,0.319825,0.720848,-0.524411,-1.299131,0.312016,2.055007,2.864151
3876.620000000,0.319960,0.721027,-0.524372,-1.299244,0.481748,2.055150,2.596484
3876.622000000,0.320041,0.720884,-0.524659,-1.299228,0.302973,2.055292,2.885578
3876.654000000,0.319962,0.721029,-0.524367,-1.299249,0.481745,2.055152,2.596478
3876.657000000,0.319968,0.720906,-0.524546,-1.299216,0.296591,2.055179,2.897331
3876.688000000,0.319965,0.721025,-0.524375,-1.299249,0.481747,2.055150,2.596474
3876.691000000,0.319999,0.720973,-0.524529,-1.299233,0.294606,2.055181,2.897312
3876.722000000,0.319968,0.721032,-0.524374,-1.299252,0.481745,2.055151,2.596481
3876.725000000,0.320009,0.721002,-0.524507,-1.299246,0.292782,2.055179,2.897302
3876.756000000,0.319965,0.721029,-0.524380,-1.299254,0.481748,2.055151,2.596477
3876.759000000,0.320025,0.721018,-0.524511,-1.299258,0.291443,2.055179,2.897300
3876.790000000,0.319960,0.721030,-0.524372,-1.299249,0.481748,2.055149,2.596474
3876.793000000,0.320048,0.721049,-0.524525,-1.299262,0.290453,2.055190,2.897353
3876.825000000,0.319973,0.721025,-0.524373,-1.299252,0.481747,2.055149,2.596485
3876.827000000,0.320039,0.721051,-0.524504,-1.299260,0.289632,2.055184,2.897301
3876.860000000,0.319962,0.721028,-0.524378,-1.299254,0.481747,2.055151,2.596479
3876.861000000,0.320042,0.721057,-0.524503,-1.299267,0.289042,2.055182,2.897317
3876.893000000,0.319970,0.721030,-0.524372,-1.299249,0.481744,2.055150,2.596481
3876.895000000,0.320050,0.721072,-0.524506,-1.299264,0.288599,2.055183,2.897315
3876.928000000,0.319964,0.721025,-0.524375,-1.299249,0.481747,2.055151,2.596477
3876.929000000,0.320137,0.721088,-0.524600,-1.299308,0.288408,2.055328,2.896835
3876.962000000,0.319960,0.721027,-0.524372,-1.299252,0.481746,2.055151,2.596481
3876.963000000,0.320148,0.721021,-0.524651,-1.299312,0.281954,2.055352,2.896534
3876.997000000,0.319957,0.721027,-0.524375,-1.299246,0.481746,2.055151,2.596483
3876.997000000,0.320173,0.721003,-0.524711,-1.299307,0.274835,2.055411,2.896473
3877.030000000,0.319965,0.721027,-0.524374,-1.299249,0.481748,2.055149,2.596481
3877.031000000,0.320202,0.721000,-0.524767,-1.299318,0.267817,2.055481,2.895950
3877.064000000,0.319965,0.721026,-0.524372,-1.299249,0.481746,2.055152,2.596484
3877.064000000,0.320231,0.720966,-0.524810,-1.299334,0.259242,2.055513,2.896869
