joint,RMSE,Emax,platform
panda_joint1,0.03216872694512162,0.3465774082610694,Unity
panda_joint2,0.02641145516088986,0.23650176793868938,Unity
panda_joint3,0.021525612452810133,0.22517696313647811,Unity
panda_joint4,0.033631955916819556,0.4149195207943017,Unity
panda_joint5,0.008888475616472661,0.03871485014343591,Unity
panda_joint6,0.028041905036766044,0.13759587965940168,Unity
panda_joint7,0.035593692202160146,0.3257395967669847,Unity
panda_joint1,0.11072982664311602,0.22529086963039088,Gazebo
panda_joint2,0.17909175553764906,0.5398814472843613,Gazebo
panda_joint3,0.15876063418493613,0.3731165752161385,Gazebo
panda_joint4,0.2181812132828439,0.38440056491959007,Gazebo
panda_joint5,0.07053943016432677,0.20122002005171186,Gazebo
panda_joint6,0.4022619892984335,0.8503096584771326,Gazebo
panda_joint7,0.40433487584393024,0.7926150683669959,Gazebo
